Geo Point;Geo Shape;COUSUBNS;GEOID;NAMELSAD;CLASSFP;FUNCSTAT;ALAND;AWATER;INTPTLAT;INTPTLON;FID_County;GEOID_1;Census Tracts;ALAND_1;AWATER_1;INTPTLAT_1;INTPTLON_1;FID_Census;SHAPE_Leng;SHAPE_Area;TRACTNUM;State_Code;County_Cod;Tract_Code;Total_Population;Tract Minority %;Number of Families;Number of Households;Non-Hisp White Populations;Tract Minority Population;American Indian Population;Asian/Hawaiian/Pacific Islander Population;Black Population;Hispanic Population;Other Population/Two or More Races;Tract Income Level;2015 MSA/MD Statewide non-MSA/MD Median Family Income;2020 MSA/MD Statewide non-MSA/MD Median Family Income;% below Poverty Line;Tract Median Family Income %;2015 Tract Median Family Income;2020 Est. Tract Median Family Income;2015 Tract Median Household Income;Total_Housing_units;1 to 4 Family Units;Median_House_Age (years);Iniside_Principal_City?;Owner_Occupied_Units;Vacant_Units;Owner_Occupied 1 to 4 Family Units;Renter_Occupied_Units
40.7235905627, -74.0476909708;"{""coordinates"": [[[-74.046912, 40.727052], [-74.047023, 40.726347], [-74.047135, 40.725636], [-74.047165, 40.725444], [-74.047244, 40.724928], [-74.047346, 40.724253], [-74.045626, 40.724107], [-74.045737, 40.72336], [-74.045834, 40.722666], [-74.045843, 40.722638], [-74.046058, 40.721937], [-74.046156, 40.721618], [-74.046376, 40.721227], [-74.046689, 40.720669], [-74.048197, 40.721139], [-74.04976, 40.721626], [-74.049372, 40.722224], [-74.04937, 40.722233], [-74.049366, 40.722259], [-74.049253, 40.722918], [-74.049214, 40.723149], [-74.049125, 40.723665], [-74.049001, 40.724394], [-74.048885, 40.725071], [-74.048798, 40.725574], [-74.048763, 40.725779], [-74.048658, 40.72649], [-74.048556, 40.72719], [-74.046912, 40.727052]]], ""type"": ""Polygon""}";00885264;3401736000;Jersey City city;C5;F;38185626.0;16549963.0;+40.7114174;-74.0647599;258;34017002300;Census Tract 23;144800.0;0.0;+40.7235905;-74.0476910;847;0.01881157227;1.543393e-05;23;34.0;017;23.0;2228.0;55.79;527.0;1140.0;985.0;1243.0;0.0;467.0;64.0;643.0;69.0;Upper;67560.0;81800.0;12.21;164.03;110823.0;134177.0;98205.0;1249.0;791.0;76.0;Yes;355.0;109.0;246.0;785.0
40.7333233316, -74.0621576994;"{""coordinates"": [[[-74.059263, 40.734854], [-74.05802, 40.733275], [-74.058088, 40.733237], [-74.058524, 40.733], [-74.059449, 40.732498], [-74.059602, 40.7326], [-74.059701, 40.732345], [-74.059852, 40.732068], [-74.060036, 40.731841], [-74.060084, 40.731772], [-74.060454, 40.731281], [-74.060671, 40.731092], [-74.060902, 40.730834], [-74.061092, 40.730622], [-74.061172, 40.730533], [-74.061205, 40.73049], [-74.061257, 40.730423], [-74.062158, 40.730524], [-74.063128, 40.730629], [-74.063233, 40.730641], [-74.06409, 40.730823], [-74.064319, 40.730839], [-74.064192, 40.730945], [-74.064103, 40.731507], [-74.06414, 40.731598], [-74.064171, 40.731675], [-74.064023, 40.731951], [-74.063458, 40.732671], [-74.06392, 40.733059], [-74.064334, 40.733419], [-74.064868, 40.733884], [-74.065022, 40.734018], [-74.065271, 40.734235], [-74.0659, 40.73474], [-74.066161, 40.734949], [-74.066445, 40.735127], [-74.066914, 40.735398], [-74.066731, 40.735782], [-74.065003, 40.735575], [-74.064933, 40.735567], [-74.064489, 40.735514], [-74.063122, 40.73535], [-74.061989, 40.735204], [-74.060295, 40.734986], [-74.059263, 40.734854]]], ""type"": ""Polygon""}";00885264;3401736000;Jersey City city;C5;F;38185626.0;16549963.0;+40.7114174;-74.0647599;258;34017001900;Census Tract 19;230989.0;0.0;+40.7333233;-74.0621577;853;0.02417845739;2.462399e-05;19;34.0;017;19.0;1433.0;86.6;286.0;618.0;192.0;1241.0;12.0;975.0;110.0;88.0;56.0;Middle;67560.0;81800.0;21.91;99.91;67500.0;81726.0;59211.0;672.0;383.0;76.0;Yes;72.0;54.0;72.0;546.0
40.730761605, -74.0655947929;"{""coordinates"": [[[-74.061257, 40.730423], [-74.061688, 40.729865], [-74.06218, 40.729185], [-74.062273, 40.729075], [-74.062673, 40.728597], [-74.062707, 40.728556], [-74.06316, 40.728089], [-74.063579, 40.727702], [-74.063862, 40.72658], [-74.064167, 40.726722], [-74.064646, 40.727014], [-74.065038, 40.727253], [-74.065509, 40.72754], [-74.065852, 40.727773], [-74.066861, 40.72846], [-74.067474, 40.728878], [-74.068149, 40.729337], [-74.068709, 40.728876], [-74.069509, 40.729246], [-74.068548, 40.730213], [-74.068503, 40.730263], [-74.068181, 40.730817], [-74.068022, 40.731066], [-74.067819, 40.731365], [-74.068815, 40.731575], [-74.06853, 40.732029], [-74.067633, 40.733571], [-74.06741, 40.733954], [-74.067256, 40.734212], [-74.067223, 40.734539], [-74.06713, 40.734853], [-74.067107, 40.73492], [-74.067019, 40.735177], [-74.066914, 40.735398], [-74.066445, 40.735127], [-74.066161, 40.734949], [-74.0659, 40.73474], [-74.065271, 40.734235], [-74.065022, 40.734018], [-74.064868, 40.733884], [-74.064334, 40.733419], [-74.06392, 40.733059], [-74.063458, 40.732671], [-74.064023, 40.731951], [-74.064171, 40.731675], [-74.06414, 40.731598], [-74.064103, 40.731507], [-74.064192, 40.730945], [-74.064319, 40.730839], [-74.06409, 40.730823], [-74.063233, 40.730641], [-74.063128, 40.730629], [-74.062158, 40.730524], [-74.061257, 40.730423]]], ""type"": ""Polygon""}";00885264;3401736000;Jersey City city;C5;F;38185626.0;16549963.0;+40.7114174;-74.0647599;258;34017002000;Census Tract 20;308862.0;0.0;+40.7307616;-74.0655948;854;0.02915456513;3.292426e-05;20;34.0;017;20.0;4191.0;67.22;896.0;1805.0;1374.0;2817.0;17.0;1505.0;416.0;724.0;155.0;Moderate;67560.0;81800.0;27.61;78.06;52742.0;63853.0;50754.0;1978.0;546.0;76.0;Yes;158.0;173.0;148.0;1647.0
40.7369538115, -74.0563093449;"{""coordinates"": [[[-74.053216, 40.73708], [-74.053798, 40.736447], [-74.054232, 40.735951], [-74.054732, 40.735382], [-74.055253, 40.734787], [-74.055573, 40.734422], [-74.055631, 40.734375], [-74.055706, 40.734314], [-74.056607, 40.735085], [-74.058825, 40.737008], [-74.058821, 40.73711], [-74.058819, 40.737196], [-74.058818, 40.73722], [-74.05881, 40.737517], [-74.05879, 40.738169], [-74.058744, 40.738262], [-74.058682, 40.738321], [-74.058658, 40.738344], [-74.058216, 40.738764], [-74.057643, 40.739323], [-74.0565, 40.738765], [-74.054884, 40.73793], [-74.053216, 40.73708]]], ""type"": ""Polygon""}";00885264;3401736000;Jersey City city;C5;F;38185626.0;16549963.0;+40.7114174;-74.0647599;258;34017001201;Census Tract 12.01;139358.0;0.0;+40.7369538;-74.0563093;855;0.01560278595;1.485674e-05;12.01;34.0;017;12.01;2122.0;80.21;488.0;738.0;420.0;1702.0;9.0;1153.0;67.0;425.0;48.0;Middle;67560.0;81800.0;10.62;105.93;71571.0;86651.0;70610.0;824.0;573.0;76.0;Yes;205.0;86.0;197.0;533.0
40.7344941987, -74.0521021509;"{""coordinates"": [[[-74.051145, 40.736941], [-74.049404, 40.736074], [-74.049612, 40.735747], [-74.049857, 40.735364], [-74.049948, 40.735222], [-74.049039, 40.734819], [-74.048837, 40.734719], [-74.048534, 40.734618], [-74.048605, 40.734502], [-74.049063, 40.733888], [-74.049988, 40.732928], [-74.050036, 40.732873], [-74.050332, 40.732561], [-74.051146, 40.731893], [-74.051711, 40.731486], [-74.051795, 40.731424], [-74.051853, 40.731362], [-74.051908, 40.731303], [-74.051976, 40.731231], [-74.052228, 40.731341], [-74.052553, 40.731511], [-74.052738, 40.73168], [-74.052801, 40.731799], [-74.053577, 40.732497], [-74.054576, 40.733324], [-74.055154, 40.733832], [-74.055706, 40.734314], [-74.055631, 40.734375], [-74.055573, 40.734422], [-74.055253, 40.734787], [-74.054732, 40.735382], [-74.054232, 40.735951], [-74.053798, 40.736447], [-74.053216, 40.73708], [-74.052653, 40.737691], [-74.051145, 40.736941]]], ""type"": ""Polygon""}";00885264;3401736000;Jersey City city;C5;F;38185626.0;16549963.0;+40.7114174;-74.0647599;258;34017001400;Census Tract 14;234502.0;0.0;+40.7344942;-74.0521021;856;0.02046044524;2.499907e-05;14;34.0;017;14.0;3928.0;82.33;876.0;1462.0;694.0;3234.0;16.0;1106.0;457.0;1559.0;96.0;Middle;67560.0;81800.0;12.56;92.25;62326.0;75461.0;61437.0;1565.0;785.0;76.0;Yes;277.0;103.0;246.0;1185.0
40.7281860048, -74.0694683803;"{""coordinates"": [[[-74.068815, 40.731575], [-74.067819, 40.731365], [-74.068022, 40.731066], [-74.068181, 40.730817], [-74.068503, 40.730263], [-74.068548, 40.730213], [-74.069509, 40.729246], [-74.068709, 40.728876], [-74.068149, 40.729337], [-74.067474, 40.728878], [-74.066861, 40.72846], [-74.067077, 40.727584], [-74.067186, 40.727171], [-74.067584, 40.726366], [-74.067785, 40.725858], [-74.068119, 40.72532], [-74.068322, 40.725174], [-74.068625, 40.724984], [-74.069286, 40.7247], [-74.069627, 40.724831], [-74.069808, 40.724902], [-74.071006, 40.725371], [-74.07223, 40.725883], [-74.07181, 40.726119], [-74.071737, 40.72616], [-74.071633, 40.726248], [-74.071564, 40.726306], [-74.071541, 40.726335], [-74.071404, 40.726514], [-74.071325, 40.726618], [-74.07074, 40.727476], [-74.070101, 40.72833], [-74.069837, 40.728787], [-74.070459, 40.729036], [-74.071921, 40.729636], [-74.071594, 40.730119], [-74.071797, 40.730202], [-74.070681, 40.731968], [-74.069753, 40.731773], [-74.068815, 40.731575]]], ""type"": ""Polygon""}";00885264;3401736000;Jersey City city;C5;F;38185626.0;16549963.0;+40.7114174;-74.0647599;258;34017002900;Census Tract 29;203303.0;0.0;+40.7281860;-74.0694684;861;0.02568482551;2.167085e-05;29;34.0;017;29.0;4214.0;68.75;851.0;1455.0;1317.0;2897.0;5.0;1358.0;570.0;928.0;36.0;Moderate;67560.0;81800.0;19.92;68.84;46509.0;56311.0;50022.0;1613.0;461.0;76.0;Yes;420.0;158.0;201.0;1035.0
40.722611876, -74.0641653128;"{""coordinates"": [[[-74.062034, 40.726603], [-74.06196, 40.72655], [-74.061726, 40.726384], [-74.06159, 40.726246], [-74.061435, 40.726088], [-74.061111, 40.725753], [-74.061112, 40.725663], [-74.061292, 40.725412], [-74.06132, 40.724953], [-74.061651, 40.724514], [-74.060703, 40.724207], [-74.060606, 40.724149], [-74.060586, 40.724075], [-74.060612, 40.723993], [-74.061022, 40.723611], [-74.06106, 40.723576], [-74.061702, 40.722978], [-74.06277, 40.721859], [-74.063439, 40.721196], [-74.06397, 40.720671], [-74.065046, 40.719376], [-74.065241, 40.719099], [-74.065451, 40.718802], [-74.065866, 40.718214], [-74.066309, 40.717586], [-74.066867, 40.716795], [-74.067194, 40.716331], [-74.067219, 40.716296], [-74.067322, 40.716961], [-74.067486, 40.717758], [-74.067562, 40.718256], [-74.067488, 40.718568], [-74.067469, 40.718645], [-74.067367, 40.719019], [-74.067279, 40.719304], [-74.067256, 40.719378], [-74.067185, 40.719563], [-74.067074, 40.719802], [-74.066986, 40.719978], [-74.066962, 40.720001], [-74.06673, 40.720201], [-74.066698, 40.720229], [-74.066532, 40.72043], [-74.066206, 40.720908], [-74.065899, 40.721442], [-74.065812, 40.721595], [-74.065695, 40.721758], [-74.065705, 40.722191], [-74.065744, 40.722573], [-74.065751, 40.722646], [-74.065758, 40.722723], [-74.065753, 40.723115], [-74.065174, 40.724066], [-74.065159, 40.724094], [-74.064497, 40.725311], [-74.064144, 40.726], [-74.063877, 40.726522], [-74.063862, 40.72658], [-74.063579, 40.727702], [-74.062034, 40.726603]]], ""type"": ""Polygon""}";00885264;3401736000;Jersey City city;C5;F;38185626.0;16549963.0;+40.7114174;-74.0647599;258;34017003100;Census Tract 31;260423.0;0.0;+40.7226118;-74.0641654;863;0.02850775984;2.775714e-05;31;34.0;017;31.0;4488.0;72.64;1027.0;1823.0;1228.0;3260.0;0.0;1227.0;567.0;1389.0;77.0;Middle;67560.0;81800.0;21.96;81.43;55016.0;66610.0;50078.0;2015.0;663.0;76.0;Yes;395.0;192.0;171.0;1428.0
40.7085382297, -74.0625638089;"{""coordinates"": [[[-74.054811, 40.710604], [-74.054936, 40.710424], [-74.055046, 40.710259], [-74.055284, 40.709996], [-74.055502, 40.709782], [-74.055816, 40.709544], [-74.056127, 40.709333], [-74.056495, 40.709115], [-74.05726, 40.708712], [-74.058632, 40.708062], [-74.059629, 40.707573], [-74.061976, 40.706449], [-74.062054, 40.706412], [-74.062091, 40.706394], [-74.063951, 40.705303], [-74.064653, 40.70475], [-74.065049, 40.704374], [-74.065459, 40.704009], [-74.066574, 40.702874], [-74.066612, 40.702836], [-74.066652, 40.702795], [-74.067215, 40.702225], [-74.067952, 40.701581], [-74.068747, 40.700987], [-74.068784, 40.700961], [-74.068822, 40.700986], [-74.068961, 40.701093], [-74.069523, 40.701526], [-74.069639, 40.701598], [-74.069731, 40.701643], [-74.069818, 40.701679], [-74.070265, 40.701897], [-74.071414, 40.702169], [-74.072278, 40.70236], [-74.072488, 40.702406], [-74.072361, 40.702462], [-74.071757, 40.702726], [-74.070704, 40.703187], [-74.070417, 40.703322], [-74.070128, 40.703461], [-74.070184, 40.703507], [-74.070274, 40.703575], [-74.070447, 40.703726], [-74.070517, 40.703785], [-74.070922, 40.704124], [-74.071041, 40.704224], [-74.071815, 40.704874], [-74.069451, 40.706582], [-74.067186, 40.708214], [-74.065728, 40.70926], [-74.064936, 40.709831], [-74.063658, 40.710714], [-74.063422, 40.710877], [-74.062625, 40.711451], [-74.061453, 40.712297], [-74.060231, 40.713178], [-74.059727, 40.713541], [-74.059023, 40.714034], [-74.057814, 40.714879], [-74.056747, 40.715642], [-74.056578, 40.715763], [-74.056149, 40.71607], [-74.055967, 40.7162], [-74.055889, 40.716256], [-74.055742, 40.715939], [-74.055289, 40.715104], [-74.054771, 40.714148], [-74.054457, 40.713542], [-74.054278, 40.712969], [-74.054236, 40.712665], [-74.054257, 40.712164], [-74.054426, 40.711449], [-74.054531, 40.71114], [-74.054654, 40.71088], [-74.054811, 40.710604]]], ""type"": ""Polygon""}";00885264;3401736000;Jersey City city;C5;F;38185626.0;16549963.0;+40.7114174;-74.0647599;258;34017004700;Census Tract 47;878537.0;0.0;+40.7085382;-74.0625642;868;0.05171001789;9.361929e-05;47;34.0;017;47.0;2758.0;81.69;597.0;1045.0;505.0;2253.0;0.0;234.0;865.0;1124.0;30.0;Middle;67560.0;81800.0;20.55;105.05;70977.0;85931.0;62679.0;1231.0;960.0;76.0;Yes;236.0;186.0;179.0;809.0
40.7137145231, -74.0849328502;"{""coordinates"": [[[-74.079886, 40.714968], [-74.080144, 40.714734], [-74.080229, 40.714645], [-74.080519, 40.714338], [-74.080792, 40.714012], [-74.081362, 40.713334], [-74.081517, 40.713133], [-74.081645, 40.712968], [-74.081807, 40.712759], [-74.082067, 40.712426], [-74.082291, 40.712137], [-74.082503, 40.711865], [-74.082816, 40.711461], [-74.082954, 40.711284], [-74.083415, 40.710691], [-74.084446, 40.711332], [-74.084541, 40.71124], [-74.085043, 40.710736], [-74.085288, 40.71049], [-74.085501, 40.710148], [-74.085578, 40.709912], [-74.087545, 40.711228], [-74.087928, 40.711485], [-74.088554, 40.711904], [-74.088993, 40.712198], [-74.089559, 40.712581], [-74.090271, 40.713062], [-74.090028, 40.713208], [-74.089434, 40.713573], [-74.089268, 40.713703], [-74.08887, 40.714031], [-74.088612, 40.714244], [-74.088335, 40.714473], [-74.088032, 40.714701], [-74.087856, 40.714834], [-74.087304, 40.715256], [-74.087012, 40.71548], [-74.086721, 40.715703], [-74.086641, 40.71576], [-74.086351, 40.715972], [-74.085987, 40.716236], [-74.085568, 40.716542], [-74.085516, 40.71658], [-74.085343, 40.716723], [-74.084746, 40.717269], [-74.084561, 40.717461], [-74.083874, 40.717095], [-74.082676, 40.716456], [-74.081742, 40.715958], [-74.079886, 40.714968]]], ""type"": ""Polygon""}";00885264;3401736000;Jersey City city;C5;F;38185626.0;16549963.0;+40.7114174;-74.0647599;258;34017004900;Census Tract 49;369559.0;0.0;+40.7137145;-74.0849329;869;0.02677860217;3.938431e-05;49;34.0;017;49.0;3843.0;93.65;944.0;1216.0;244.0;3599.0;0.0;560.0;1694.0;1224.0;121.0;Moderate;67560.0;81800.0;24.36;78.27;52885.0;64025.0;48507.0;1479.0;1181.0;65.0;Yes;428.0;263.0;428.0;788.0
40.7089087215, -74.0852231742;"{""coordinates"": [[[-74.083415, 40.710691], [-74.083778, 40.710224], [-74.081484, 40.708731], [-74.078086, 40.70652], [-74.078143, 40.706414], [-74.078438, 40.705868], [-74.078652, 40.705471], [-74.078665, 40.705448], [-74.078856, 40.70525], [-74.079453, 40.704631], [-74.080389, 40.705328], [-74.083287, 40.707241], [-74.083954, 40.706691], [-74.084677, 40.706097], [-74.086291, 40.70713], [-74.086165, 40.707282], [-74.087242, 40.707995], [-74.089842, 40.709719], [-74.091515, 40.710874], [-74.092706, 40.711616], [-74.092646, 40.711658], [-74.092273, 40.711896], [-74.091213, 40.7125], [-74.090814, 40.71274], [-74.090271, 40.713062], [-74.089559, 40.712581], [-74.088993, 40.712198], [-74.088554, 40.711904], [-74.087928, 40.711485], [-74.087545, 40.711228], [-74.085578, 40.709912], [-74.085501, 40.710148], [-74.085288, 40.71049], [-74.085043, 40.710736], [-74.084541, 40.71124], [-74.084446, 40.711332], [-74.083415, 40.710691]]], ""type"": ""Polygon""}";00885264;3401736000;Jersey City city;C5;F;38185626.0;16549963.0;+40.7114174;-74.0647599;258;34017005200;Census Tract 52;376346.0;0.0;+40.7089087;-74.0852230;875;0.03767761282;4.010498e-05;52;34.0;017;52.0;4598.0;88.13;963.0;1669.0;546.0;4052.0;23.0;557.0;2804.0;583.0;85.0;Moderate;67560.0;81800.0;29.85;57.93;39141.0;47387.0;32141.0;1954.0;1128.0;62.0;Yes;516.0;285.0;426.0;1153.0
